,STNAME,State,City,PopEstimate2016
134,Alabama,AL,EXCEL TOWN,665
135,Alabama,AL,FAIRFIELD CITY,10807
136,Alabama,AL,FAIRHOPE CITY,19421
137,Alabama,AL,FAIRVIEW TOWN,458
138,Alabama,AL,FALKVILLE TOWN,1260
139,Alabama,AL,FAUNSDALE TOWN,92
140,Alabama,AL,FAYETTE CITY,4432
141,Alabama,AL,FIVE POINTS TOWN,140
142,Alabama,AL,FLOMATON TOWN,1408
143,Alabama,AL,FLORALA TOWN,1952
144,Alabama,AL,FLORENCE CITY,39959
145,Alabama,AL,FOLEY CITY,17607
146,Alabama,AL,FORKLAND TOWN,597
147,Alabama,AL,FORT DEPOSIT TOWN,1228
148,Alabama,AL,FORT PAYNE CITY,14099
149,Alabama,AL,FRANKLIN TOWN,132
150,Alabama,AL,FRISCO CITY TOWN,1212
151,Alabama,AL,FRUITHURST TOWN,280
152,Alabama,AL,FULTON TOWN,258
153,Alabama,AL,FULTONDALE CITY,9084
154,Alabama,AL,FYFFE TOWN,1017
155,Alabama,AL,GADSDEN CITY,35837
156,Alabama,AL,GAINESVILLE TOWN,195
157,Alabama,AL,GANTT TOWN,221
158,Alabama,AL,GARDEN CITY TOWN,498
159,Alabama,AL,GARDENDALE CITY,13783
160,Alabama,AL,GAYLESVILLE TOWN,143
161,Alabama,AL,GEIGER TOWN,159
162,Alabama,AL,GENEVA CITY,4424
163,Alabama,AL,GEORGIANA TOWN,1653
164,Alabama,AL,GERALDINE TOWN,898
165,Alabama,AL,GILBERTOWN TOWN,203
166,Alabama,AL,GLEN ALLEN TOWN,492
167,Alabama,AL,GLENCOE CITY,5135
168,Alabama,AL,GLENWOOD TOWN,188
169,Alabama,AL,GOLDVILLE TOWN,53
170,Alabama,AL,GOOD HOPE TOWN,2288
171,Alabama,AL,GOODWATER TOWN,1324
172,Alabama,AL,GORDO TOWN,1672
173,Alabama,AL,GORDON TOWN,327
174,Alabama,AL,GORDONVILLE TOWN,302
175,Alabama,AL,GOSHEN TOWN,255
176,Alabama,AL,GRANT TOWN,907
177,Alabama,AL,GRAYSVILLE CITY,2107
178,Alabama,AL,GREENSBORO CITY,2365
179,Alabama,AL,GREENVILLE CITY,7781
180,Alabama,AL,GRIMES TOWN,542
181,Alabama,AL,GROVE HILL TOWN,1478
182,Alabama,AL,GUIN CITY,2305
183,Alabama,AL,GULF SHORES CITY,11689
184,Alabama,AL,GUNTERSVILLE CITY,8437
185,Alabama,AL,GURLEY TOWN,786
186,Alabama,AL,GU-WIN TOWN,170
187,Alabama,AL,HACKLEBURG TOWN,1477
188,Alabama,AL,HALEBURG TOWN,101
189,Alabama,AL,HALEYVILLE CITY,4074
190,Alabama,AL,HAMILTON CITY,6739
191,Alabama,AL,HAMMONDVILLE TOWN,485
192,Alabama,AL,HANCEVILLE CITY,3288
193,Alabama,AL,HARPERSVILLE TOWN,1680
194,Alabama,AL,HARTFORD CITY,2638
195,Alabama,AL,HARTSELLE CITY,14471
196,Alabama,AL,HAYDEN TOWN,1338
197,Alabama,AL,HAYNEVILLE TOWN,853
198,Alabama,AL,HEADLAND CITY,4741
199,Alabama,AL,HEATH TOWN,255
200,Alabama,AL,HEFLIN CITY,3474
201,Alabama,AL,HELENA CITY,18673
202,Alabama,AL,HENAGAR CITY,2339
203,Alabama,AL,HIGHLAND LAKE TOWN,425
204,Alabama,AL,HILLSBORO TOWN,521
205,Alabama,AL,HOBSON CITY TOWN,761
206,Alabama,AL,HODGES TOWN,284
207,Alabama,AL,HOKES BLUFF CITY,4277
208,Alabama,AL,HOLLY POND TOWN,815
209,Alabama,AL,HOLLYWOOD TOWN,970
210,Alabama,AL,HOMEWOOD CITY,25613
211,Alabama,AL,HOOVER CITY,84978
212,Alabama,AL,HORN HILL TOWN,227
213,Alabama,AL,HUEYTOWN CITY,15561
214,Alabama,AL,HUNTSVILLE CITY,193079
215,Alabama,AL,HURTSBORO TOWN,593
216,Alabama,AL,HYTOP TOWN,346
217,Alabama,AL,IDER TOWN,711
218,Alabama,AL,INDIAN SPRINGS VILLAGE CITY,2544
219,Alabama,AL,IRONDALE CITY,12359
220,Alabama,AL,JACKSON CITY,4907
221,Alabama,AL,JACKSONS' GAP TOWN,801
222,Alabama,AL,JACKSONVILLE CITY,12657
223,Alabama,AL,JASPER CITY,14003
224,Alabama,AL,JEMISON CITY,2616
225,Alabama,AL,KANSAS TOWN,219
226,Alabama,AL,KELLYTON TOWN,197
227,Alabama,AL,KENNEDY TOWN,429
228,Alabama,AL,KILLEN TOWN,977
229,Alabama,AL,KIMBERLY CITY,2964
230,Alabama,AL,KINSEY TOWN,2187
231,Alabama,AL,KINSTON TOWN,539
232,Alabama,AL,LA FAYETTE CITY,2968
233,Alabama,AL,LAKEVIEW TOWN,143
234,Alabama,AL,LAKE VIEW TOWN,2247
235,Alabama,AL,LANETT CITY,6393
236,Alabama,AL,LANGSTON TOWN,264
237,Alabama,AL,LEEDS CITY,11940
238,Alabama,AL,LEESBURG TOWN,1008
239,Alabama,AL,LEIGHTON TOWN,707
240,Alabama,AL,LESTER TOWN,122
241,Alabama,AL,LEVEL PLAINS TOWN,2006
242,Alabama,AL,LEXINGTON TOWN,718
243,Alabama,AL,LIBERTYVILLE TOWN,114
244,Alabama,AL,LINCOLN CITY,6491
245,Alabama,AL,LINDEN CITY,1988
246,Alabama,AL,LINEVILLE CITY,2306
247,Alabama,AL,LIPSCOMB CITY,2133
248,Alabama,AL,LISMAN TOWN,498
249,Alabama,AL,LITTLEVILLE TOWN,981
250,Alabama,AL,LIVINGSTON CITY,3454
251,Alabama,AL,LOACHAPOKA TOWN,199
252,Alabama,AL,LOCKHART TOWN,514
253,Alabama,AL,LOCUST FORK TOWN,1192
254,Alabama,AL,LOUISVILLE TOWN,477
255,Alabama,AL,LOWNDESBORO TOWN,107
256,Alabama,AL,LOXLEY TOWN,2017
257,Alabama,AL,LUVERNE CITY,2825
258,Alabama,AL,LYNN TOWN,638
259,Alabama,AL,MCINTOSH TOWN,225
260,Alabama,AL,MCKENZIE TOWN,508
261,Alabama,AL,MCMULLEN TOWN,9
262,Alabama,AL,MADISON CITY,47959
263,Alabama,AL,MADRID TOWN,338
264,Alabama,AL,MAGNOLIA SPRINGS TOWN,802
265,Alabama,AL,MALVERN TOWN,1437
266,Alabama,AL,MAPLESVILLE TOWN,703
267,Alabama,AL,MARGARET TOWN,4633
268,Alabama,AL,MARION CITY,3432
269,Alabama,AL,MAYTOWN TOWN,371
270,Alabama,AL,MEMPHIS TOWN,28
271,Alabama,AL,MENTONE TOWN,366
272,Alabama,AL,MIDFIELD CITY,5171
273,Alabama,AL,MIDLAND CITY TOWN,2366
274,Alabama,AL,MIDWAY TOWN,476
275,Alabama,AL,MILLBROOK CITY,15413
276,Alabama,AL,MILLPORT TOWN,999
277,Alabama,AL,MILLRY TOWN,522
278,Alabama,AL,MOBILE CITY,192904
279,Alabama,AL,MONROEVILLE CITY,6072
280,Alabama,AL,MONTEVALLO CITY,6723
281,Alabama,AL,MONTGOMERY CITY,200022
282,Alabama,AL,MOODY CITY,12823
283,Alabama,AL,MOORESVILLE TOWN,58
284,Alabama,AL,MORRIS TOWN,1933
285,Alabama,AL,MOSSES TOWN,945
286,Alabama,AL,MOULTON CITY,3343
287,Alabama,AL,MOUNDVILLE TOWN,2436
288,Alabama,AL,MOUNTAIN BROOK CITY,20590
289,Alabama,AL,MOUNT VERNON TOWN,1510
290,Alabama,AL,MULGA TOWN,822
291,Alabama,AL,MUNFORD TOWN,1249
292,Alabama,AL,MUSCLE SHOALS CITY,13831
293,Alabama,AL,MYRTLEWOOD TOWN,122
294,Alabama,AL,NAPIER FIELD TOWN,344
295,Alabama,AL,NATURAL BRIDGE TOWN,36
296,Alabama,AL,NAUVOO TOWN,211
297,Alabama,AL,NECTAR TOWN,344
298,Alabama,AL,NEEDHAM TOWN,89
299,Alabama,AL,NEWBERN TOWN,178
300,Alabama,AL,NEW BROCKTON TOWN,1157
301,Alabama,AL,NEW HOPE CITY,2803
302,Alabama,AL,NEW SITE TOWN,754
303,Alabama,AL,NEWTON TOWN,1459
304,Alabama,AL,NEWVILLE TOWN,517
305,Alabama,AL,NORTH COURTLAND TOWN,614
306,Alabama,AL,NORTH JOHNS TOWN,141
307,Alabama,AL,NORTHPORT CITY,25045
308,Alabama,AL,NOTASULGA TOWN,850
309,Alabama,AL,OAK GROVE TOWN,511
310,Alabama,AL,OAK HILL TOWN,25
311,Alabama,AL,OAKMAN TOWN,754
312,Alabama,AL,ODENVILLE TOWN,3743
313,Alabama,AL,OHATCHEE TOWN,1138
314,Alabama,AL,ONEONTA CITY,6699
315,Alabama,AL,ONYCHA TOWN,183
316,Alabama,AL,OPELIKA CITY,29869
317,Alabama,AL,OPP CITY,6586
318,Alabama,AL,ORANGE BEACH CITY,5981
319,Alabama,AL,ORRVILLE TOWN,186
320,Alabama,AL,OWENS CROSS ROADS TOWN,1852
321,Alabama,AL,OXFORD CITY,21120
322,Alabama,AL,OZARK CITY,14610
323,Alabama,AL,PAINT ROCK TOWN,205
324,Alabama,AL,PARRISH TOWN,960
325,Alabama,AL,PELHAM CITY,23050
326,Alabama,AL,PELL CITY CITY,13794
327,Alabama,AL,PENNINGTON TOWN,207
328,Alabama,AL,PERDIDO BEACH TOWN,641
329,Alabama,AL,PETREY TOWN,58
330,Alabama,AL,PHENIX CITY CITY,37132
331,Alabama,AL,PHIL CAMPBELL TOWN,1273
332,Alabama,AL,PICKENSVILLE TOWN,574
333,Alabama,AL,PIEDMONT CITY,4666
334,Alabama,AL,PIKE ROAD TOWN,8777
335,Alabama,AL,PINCKARD TOWN,627
336,Alabama,AL,PINE APPLE TOWN,125
337,Alabama,AL,PINE HILL TOWN,912
338,Alabama,AL,PINE RIDGE TOWN,282
339,Alabama,AL,PINSON CITY,7426
340,Alabama,AL,PISGAH TOWN,707
341,Alabama,AL,PLEASANT GROVE CITY,10177
342,Alabama,AL,PLEASANT GROVES TOWN,411
343,Alabama,AL,POLLARD TOWN,135
344,Alabama,AL,POWELL TOWN,954
345,Alabama,AL,PRATTVILLE CITY,35606
346,Alabama,AL,PRICEVILLE TOWN,3297
347,Alabama,AL,PRICHARD CITY,22185
348,Alabama,AL,PROVIDENCE TOWN,210
349,Alabama,AL,RAGLAND TOWN,1697
350,Alabama,AL,RAINBOW CITY CITY,9531
351,Alabama,AL,RAINSVILLE CITY,5015
352,Alabama,AL,RANBURNE TOWN,407
353,Alabama,AL,RED BAY CITY,3119
354,Alabama,AL,RED LEVEL TOWN,485
355,Alabama,AL,REECE CITY TOWN,628
356,Alabama,AL,REFORM TOWN,1616
357,Alabama,AL,REHOBETH TOWN,1482
358,Alabama,AL,REPTON TOWN,266
359,Alabama,AL,RIDGEVILLE TOWN,105
360,Alabama,AL,RIVER FALLS TOWN,523
361,Alabama,AL,RIVERSIDE TOWN,2316
362,Alabama,AL,RIVERVIEW TOWN,182
363,Alabama,AL,ROANOKE CITY,5984
364,Alabama,AL,ROBERTSDALE CITY,5990
365,Alabama,AL,ROCKFORD TOWN,444
366,Alabama,AL,ROGERSVILLE TOWN,1220
367,Alabama,AL,ROSA TOWN,318
368,Alabama,AL,RUSSELLVILLE CITY,9815
369,Alabama,AL,RUTLEDGE TOWN,458
370,Alabama,AL,ST. FLORIAN TOWN,591
371,Alabama,AL,SAMSON CITY,1912
372,Alabama,AL,SAND ROCK TOWN,555
373,Alabama,AL,SANFORD TOWN,245
374,Alabama,AL,SARALAND CITY,13942
375,Alabama,AL,SARDIS CITY TOWN,1771
376,Alabama,AL,SATSUMA CITY,6193
377,Alabama,AL,SCOTTSBORO CITY,14677
378,Alabama,AL,SECTION TOWN,754
379,Alabama,AL,SELMA CITY,18983
380,Alabama,AL,SEMMES CITY,4155
381,Alabama,AL,SHEFFIELD CITY,9025
382,Alabama,AL,SHILOH TOWN,274
383,Alabama,AL,SHORTER TOWN,427
384,Alabama,AL,SILAS TOWN,426
385,Alabama,AL,SILVERHILL TOWN,802
386,Alabama,AL,SIPSEY TOWN,424
387,Alabama,AL,SKYLINE TOWN,833
388,Alabama,AL,SLOCOMB CITY,1956
389,Alabama,AL,SMITHS STATION CITY,5341
390,Alabama,AL,SNEAD TOWN,841
391,Alabama,AL,SOMERVILLE TOWN,712
392,Alabama,AL,SOUTHSIDE CITY,8600
393,Alabama,AL,SOUTH VINEMONT TOWN,758
394,Alabama,AL,SPANISH FORT CITY,8327
395,Alabama,AL,SPRINGVILLE CITY,4251
396,Alabama,AL,STEELE TOWN,1086
397,Alabama,AL,STEVENSON CITY,1977
398,Alabama,AL,SULLIGENT CITY,1849
399,Alabama,AL,SUMITON CITY,2407
400,Alabama,AL,SUMMERDALE TOWN,1244
401,Alabama,AL,SUSAN MOORE TOWN,769
402,Alabama,AL,SWEET WATER TOWN,242
403,Alabama,AL,SYLACAUGA CITY,12540
404,Alabama,AL,SYLVANIA TOWN,1850
405,Alabama,AL,SYLVAN SPRINGS TOWN,1509
406,Alabama,AL,TALLADEGA CITY,15451
407,Alabama,AL,TALLADEGA SPRINGS TOWN,162
408,Alabama,AL,TALLASSEE CITY,4759
409,Alabama,AL,TARRANT CITY,6268
410,Alabama,AL,TAYLOR TOWN,2393
411,Alabama,AL,THOMASTON TOWN,391
412,Alabama,AL,THOMASVILLE CITY,4002
413,Alabama,AL,THORSBY TOWN,2052
414,Alabama,AL,TOWN CREEK TOWN,1069
415,Alabama,AL,TOXEY TOWN,129
416,Alabama,AL,TRAFFORD TOWN,627
417,Alabama,AL,TRIANA TOWN,529
418,Alabama,AL,TRINITY TOWN,2164
419,Alabama,AL,TROY CITY,19191
420,Alabama,AL,TRUSSVILLE CITY,21422
421,Alabama,AL,TUSCALOOSA CITY,99543
422,Alabama,AL,TUSCUMBIA CITY,8434
423,Alabama,AL,TUSKEGEE CITY,8722
424,Alabama,AL,TWIN TOWN,387
425,Alabama,AL,UNION TOWN,221
426,Alabama,AL,UNION GROVE TOWN,79
427,Alabama,AL,UNION SPRINGS CITY,3749
428,Alabama,AL,UNIONTOWN TOWN,2388
429,Alabama,AL,VALLEY CITY,9377
430,Alabama,AL,VALLEY GRANDE CITY,3741
431,Alabama,AL,VALLEY HEAD TOWN,550
432,Alabama,AL,VANCE TOWN,1501
433,Alabama,AL,VERNON CITY,1896
434,Alabama,AL,VESTAVIA HILLS CITY,34688
435,Alabama,AL,VINA TOWN,356
436,Alabama,AL,VINCENT TOWN,2118
437,Alabama,AL,VREDENBURGH TOWN,293
438,Alabama,AL,WADLEY TOWN,737
439,Alabama,AL,WALDO TOWN,276
440,Alabama,AL,WALNUT GROVE TOWN,681
441,Alabama,AL,WARRIOR CITY,3192
442,Alabama,AL,WATERLOO TOWN,198
443,Alabama,AL,WAVERLY TOWN,148
444,Alabama,AL,WEAVER CITY,3076
445,Alabama,AL,WEBB TOWN,1396
446,Alabama,AL,WEDOWEE TOWN,806
447,Alabama,AL,WEST BLOCTON TOWN,1263
448,Alabama,AL,WEST JEFFERSON TOWN,331
449,Alabama,AL,WESTOVER TOWN,1542
450,Alabama,AL,WEST POINT TOWN,596
451,Alabama,AL,WETUMPKA CITY,8219
452,Alabama,AL,WHITE HALL TOWN,804
453,Alabama,AL,WILSONVILLE TOWN,1987
454,Alabama,AL,WILTON TOWN,682
455,Alabama,AL,WINFIELD CITY,4531
456,Alabama,AL,WOODLAND TOWN,183
457,Alabama,AL,WOODSTOCK TOWN,1569
458,Alabama,AL,WOODVILLE TOWN,730
459,Alabama,AL,YELLOW BLUFF TOWN,176
460,Alabama,AL,YORK CITY,2373
461,Alabama,AL,AUTAUGA COUNTY,55416
462,Alabama,AL,AUTAUGAVILLE TOWN,854
463,Alabama,AL,BILLINGSLEY TOWN,141
464,Alabama,AL,MILLBROOK CITY (PT.),149
465,Alabama,AL,PRATTVILLE CITY (PT.),33683
466,Alabama,AL,BALANCE OF AUTAUGA COUNTY,20589
467,Alabama,AL,BALDWIN COUNTY,208563
468,Alabama,AL,BAY MINETTE CITY,9312
469,Alabama,AL,DAPHNE CITY,25913
470,Alabama,AL,ELBERTA TOWN,1679
471,Alabama,AL,FAIRHOPE CITY,19421
472,Alabama,AL,FOLEY CITY,17607
473,Alabama,AL,GULF SHORES CITY,11689
474,Alabama,AL,LOXLEY TOWN,2017
475,Alabama,AL,MAGNOLIA SPRINGS TOWN,802
476,Alabama,AL,ORANGE BEACH CITY,5981
477,Alabama,AL,PERDIDO BEACH TOWN,641
478,Alabama,AL,ROBERTSDALE CITY,5990
479,Alabama,AL,SILVERHILL TOWN,802
480,Alabama,AL,SPANISH FORT CITY,8327
481,Alabama,AL,SUMMERDALE TOWN,1244
482,Alabama,AL,BALANCE OF BALDWIN COUNTY,97138
483,Alabama,AL,BARBOUR COUNTY,25965
484,Alabama,AL,BAKERHILL TOWN,261
485,Alabama,AL,BLUE SPRINGS TOWN,91
486,Alabama,AL,CLAYTON TOWN,2904
487,Alabama,AL,CLIO CITY,1470
488,Alabama,AL,EUFAULA CITY,12404
489,Alabama,AL,LOUISVILLE TOWN,477
490,Alabama,AL,BALANCE OF BARBOUR COUNTY,8358
491,Alabama,AL,BIBB COUNTY,22643
492,Alabama,AL,BRENT CITY,4919
493,Alabama,AL,CENTREVILLE CITY,2708
494,Alabama,AL,VANCE TOWN (PT.),48
495,Alabama,AL,WEST BLOCTON TOWN,1263
496,Alabama,AL,WOODSTOCK TOWN (PT.),1451
497,Alabama,AL,BALANCE OF BIBB COUNTY,12254
498,Alabama,AL,BLOUNT COUNTY,57704
499,Alabama,AL,ALLGOOD TOWN,627
500,Alabama,AL,ALTOONA TOWN (PT.),30
501,Alabama,AL,BLOUNTSVILLE TOWN,1694
502,Alabama,AL,CLEVELAND TOWN,1313
503,Alabama,AL,COUNTY LINE TOWN (PT.),201
504,Alabama,AL,GARDEN CITY TOWN (PT.),0
505,Alabama,AL,HAYDEN TOWN,1338
506,Alabama,AL,HIGHLAND LAKE TOWN,425
507,Alabama,AL,LOCUST FORK TOWN,1192
508,Alabama,AL,NECTAR TOWN,344
509,Alabama,AL,ONEONTA CITY,6699
510,Alabama,AL,ROSA TOWN,318
511,Alabama,AL,SNEAD TOWN,841
512,Alabama,AL,SUSAN MOORE TOWN,769
513,Alabama,AL,TRAFFORD TOWN (PT.),0
514,Alabama,AL,BALANCE OF BLOUNT COUNTY,41913
515,Alabama,AL,BULLOCK COUNTY,10362
516,Alabama,AL,MIDWAY TOWN,476
517,Alabama,AL,UNION SPRINGS CITY,3749
518,Alabama,AL,BALANCE OF BULLOCK COUNTY,6137
519,Alabama,AL,BUTLER COUNTY,19998
520,Alabama,AL,GEORGIANA TOWN,1653
521,Alabama,AL,GREENVILLE CITY,7781
522,Alabama,AL,MCKENZIE TOWN (PT.),501
523,Alabama,AL,BALANCE OF BUTLER COUNTY,10063
524,Alabama,AL,CALHOUN COUNTY,114611
525,Alabama,AL,ANNISTON CITY,22112
526,Alabama,AL,GLENCOE CITY (PT.),37
527,Alabama,AL,HOBSON CITY TOWN,761
528,Alabama,AL,JACKSONVILLE CITY,12657
529,Alabama,AL,OHATCHEE TOWN,1138
530,Alabama,AL,OXFORD CITY (PT.),16974
531,Alabama,AL,PIEDMONT CITY (PT.),4666
532,Alabama,AL,SOUTHSIDE CITY (PT.),152
533,Alabama,AL,WEAVER CITY,3076
534,Alabama,AL,BALANCE OF CALHOUN COUNTY,53038
535,Alabama,AL,CHAMBERS COUNTY,33843
536,Alabama,AL,CUSSETA TOWN,123
537,Alabama,AL,FIVE POINTS TOWN,140
538,Alabama,AL,LA FAYETTE CITY,2968
539,Alabama,AL,LANETT CITY,6393
540,Alabama,AL,VALLEY CITY,9377
541,Alabama,AL,WAVERLY TOWN (PT.),98
542,Alabama,AL,BALANCE OF CHAMBERS COUNTY,14744
543,Alabama,AL,CHEROKEE COUNTY,25725
544,Alabama,AL,CEDAR BLUFF TOWN,1790
545,Alabama,AL,CENTRE CITY,3555
546,Alabama,AL,COLLINSVILLE TOWN (PT.),21
547,Alabama,AL,GAYLESVILLE TOWN,143
548,Alabama,AL,LEESBURG TOWN,1008
549,Alabama,AL,PIEDMONT CITY (PT.),0
550,Alabama,AL,SAND ROCK TOWN (PT.),529
551,Alabama,AL,BALANCE OF CHEROKEE COUNTY,18679
552,Alabama,AL,CHILTON COUNTY,43941
553,Alabama,AL,CALERA CITY (PT.),103
554,Alabama,AL,CLANTON CITY,8846
555,Alabama,AL,JEMISON CITY,2616
556,Alabama,AL,MAPLESVILLE TOWN,703
557,Alabama,AL,THORSBY TOWN,2052
558,Alabama,AL,BALANCE OF CHILTON COUNTY,29621
559,Alabama,AL,CHOCTAW COUNTY,12993
560,Alabama,AL,BUTLER TOWN,1773
561,Alabama,AL,GILBERTOWN TOWN,203
562,Alabama,AL,LISMAN TOWN,498
563,Alabama,AL,NEEDHAM TOWN,89
564,Alabama,AL,PENNINGTON TOWN,207
565,Alabama,AL,SILAS TOWN,426
566,Alabama,AL,TOXEY TOWN,129
567,Alabama,AL,BALANCE OF CHOCTAW COUNTY,9668
568,Alabama,AL,CLARKE COUNTY,24392
569,Alabama,AL,COFFEEVILLE TOWN,334
570,Alabama,AL,FULTON TOWN,258
571,Alabama,AL,GROVE HILL TOWN,1478
572,Alabama,AL,JACKSON CITY,4907
573,Alabama,AL,THOMASVILLE CITY,4002
