County,County Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
"Winston County, AL",1133,324,23805,1361.06,1212.85,1509.26,75.61,960.97,852.63,1069.3,55.27,0.01%
"Aleutians East Borough, AK",2013,12,3296,Unreliable,188.12,635.97,105.1,Unreliable,227.8,873.62,152.46,0.00%
"Aleutians West Census Area, AK",2016,22,5647,389.59,244.15,589.84,83.06,594.32,296.69,1063.41,176.76,0.00%
"Anchorage Borough, AK",2020,1724,298192,578.15,550.86,605.44,13.92,717.44,681.53,753.34,18.32,0.06%
"Bethel Census Area, AK",2050,122,17968,678.98,558.5,799.47,61.47,1146.51,916.44,1376.57,117.38,0.00%
"Bristol Bay Borough, AK",2060,Suppressed,898,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Denali Borough, AK",2068,10,1953,Unreliable,245.54,941.65,161.92,Unreliable,324.62,1663.56,310.71,0.00%
"Dillingham Census Area, AK",2070,31,4954,625.76,425.17,888.21,112.39,849.72,559.97,1236.3,162.76,0.00%
"Fairbanks North Star Borough, AK",2090,514,100605,510.91,466.74,555.08,22.54,721.6,653.08,790.12,34.96,0.02%
"Haines Borough, AK",2100,14,2496,Unreliable,306.65,941.09,149.91,Unreliable,270.71,915.16,148.66,0.00%
"Hoonah-Angoon Census Area, AK",2105,17,2078,Unreliable,476.57,1309.85,198.42,Unreliable,435.58,1283.62,203.44,0.00%
"Juneau Borough, AK",2110,203,32468,625.23,539.22,711.24,43.88,724.33,617.98,830.67,54.26,0.01%
"Kenai Peninsula Borough, AK",2122,475,58506,811.88,738.87,884.9,37.25,755.32,682.99,827.65,36.9,0.02%
"Ketchikan Gateway Borough, AK",2130,87,13746,632.91,506.94,780.7,67.86,629.44,499.87,782.34,69.9,0.00%
"Kodiak Island Borough, AK",2150,51,13732,371.4,276.53,488.32,52.01,544.68,392.56,736.26,83.9,0.00%
"Lake and Peninsula Borough, AK",2164,17,1562,Unreliable,634.01,1742.55,263.96,Unreliable,818.61,2512.29,393.41,0.00%
"Matanuska-Susitna Borough, AK",2170,608,104365,582.57,536.26,628.88,23.63,766.87,700.63,833.1,33.79,0.02%
"Nome Census Area, AK",2180,88,9917,887.37,711.69,1093.26,94.59,1333.58,1050.71,1669.17,153.48,0.00%
"North Slope Borough, AK",2185,61,9606,635.02,485.74,815.71,81.31,1151.84,811,1587.67,188.76,0.00%
"Northwest Arctic Borough, AK",2188,56,7673,729.83,551.31,947.75,97.53,1064.18,787.29,1406.89,151.35,0.00%
"Petersburg Borough/Census Area, AK",2195,23,3149,730.39,463,1095.94,152.3,803.41,497.33,1228.11,174.85,0.00%
"Prince of Wales-Hyder Census Area, AK",2198,63,6347,992.59,762.74,1269.96,125.06,1554.05,1088.44,2151.46,259.4,0.00%
"Prince of Wales-Outer Ketchikan Census Area, AK",2201,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
"Sitka Borough, AK",2220,57,8830,645.53,488.92,836.36,85.5,594.36,447.75,773.64,80.11,0.00%
"Skagway Municipality, AK",2230,Suppressed,1088,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Skagway-Hoonah-Angoon Census Area, AK",2232,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
"Southeast Fairbanks Census Area, AK",2240,47,6876,683.54,502.24,908.96,99.7,777.98,558.29,1055.41,121.82,0.00%
"Valdez-Cordova Census Area, AK",2261,54,9355,577.23,433.63,753.16,78.55,718.02,517.49,970.56,110.32,0.00%
"Wade Hampton Census Area, AK",2270,54,8049,670.89,503.99,875.36,91.3,1113.06,779.57,1540.94,186.51,0.00%
"Wrangell City and Borough, AK",2275,16,2411,Unreliable,379.32,1077.69,165.91,Unreliable,265.77,815.63,127.75,0.00%
"Wrangell-Petersburg Census Area, AK",2280,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
"Yakutat Borough, AK",2282,Suppressed,601,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Yukon-Koyukuk Census Area, AK",2290,55,5526,995.29,749.8,1295.52,134.21,873.61,648.41,1151.74,123.51,0.00%
"Apache County, AZ",4001,681,73112,931.45,861.49,1001.41,35.69,931.91,860.53,1003.29,36.42,0.02%
"Cochise County, AZ",4003,1348,125770,1071.8,1014.58,1129.01,29.19,747.74,706.22,789.25,21.18,0.05%
"Coconino County, AZ",4005,852,140908,604.65,564.05,645.25,20.71,682.37,635.11,729.63,24.11,0.03%
"Gila County, AZ",4007,835,53556,1559.12,1453.36,1664.87,53.96,963.4,889.33,1037.47,37.79,0.03%
"Graham County, AZ",4009,279,37599,742.04,654.97,829.11,44.42,764.06,673.61,854.51,46.15,0.01%
"Greenlee County, AZ",4011,52,9613,540.93,404,709.36,75.01,564.19,420.08,741.8,79.08,0.00%
"La Paz County, AZ",4012,272,20317,1338.78,1179.68,1497.88,81.18,791.43,670.03,912.83,61.94,0.01%
"Maricopa County, AZ",4013,30748,4242997,724.68,716.58,732.78,4.13,657.39,649.97,664.81,3.79,1.12%
"Mohave County, AZ",4015,3250,205249,1583.44,1529,1637.88,27.78,910.05,875.46,944.64,17.65,0.12%
"Navajo County, AZ",4017,1016,110026,923.42,866.64,980.2,28.97,836.75,783.65,889.85,27.09,0.04%
"Pima County, AZ",4019,9508,1016206,935.64,916.83,954.44,9.6,691.26,676.9,705.62,7.33,0.35%
"Pinal County, AZ",4021,3023,418540,722.27,696.52,748.02,13.14,582.17,560.65,603.69,10.98,0.11%
"Santa Cruz County, AZ",4023,303,45985,658.91,584.72,733.1,37.85,540.99,479.02,602.95,31.61,0.01%
"Yavapai County, AZ",4025,2968,225562,1315.82,1268.49,1363.16,24.15,713.44,684.6,742.27,14.71,0.11%
"Yuma County, AZ",4027,1510,205631,734.33,697.29,771.36,18.9,565.22,535.79,594.66,15.02,0.06%
"Arkansas County, AR",5001,250,18214,1372.57,1202.42,1542.72,86.81,1017.58,886.63,1148.52,66.81,0.01%
"Ashley County, AR",5003,262,20492,1278.55,1123.73,1433.37,78.99,977.75,855.98,1099.53,62.13,0.01%
"Baxter County, AR",5005,700,41062,1704.74,1578.45,1831.03,64.43,852.2,781.79,922.61,35.92,0.03%
"Benton County, AR",5007,1758,258291,680.63,648.81,712.44,16.23,686.7,654.35,719.05,16.5,0.06%
"Boone County, AR",5009,461,37304,1235.79,1122.98,1348.6,57.56,845.9,766.51,925.29,40.51,0.02%
"Bradley County, AR",5011,144,10996,1309.57,1095.67,1523.46,109.13,937.39,780.73,1094.05,79.93,0.01%
"Calhoun County, AR",5013,70,5144,1360.81,1060.82,1719.3,162.65,907.26,700.2,1156.37,112.21,0.00%
"Carroll County, AR",5015,315,27646,1139.41,1013.58,1265.23,64.2,814.97,720.12,909.82,48.39,0.01%
"Chicot County, AR",5017,148,10945,1352.22,1134.36,1570.07,111.15,932.55,773.18,1091.92,81.31,0.01%
"Clark County, AR",5019,260,22657,1147.55,1008.06,1287.04,71.17,966.27,845.21,1087.32,61.76,0.01%
"Clay County, AR",5021,245,14920,1642.09,1436.47,1847.71,104.91,1074.88,935.8,1213.95,70.96,0.01%
"Cleburne County, AR",5023,391,25264,1547.66,1394.25,1701.06,78.27,896.36,800.22,992.51,49.05,0.01%
"Cleveland County, AR",5025,120,8241,1456.13,1195.6,1716.67,132.93,1142.48,931.1,1353.86,107.85,0.00%
"Columbia County, AR",5027,312,23901,1305.38,1160.54,1450.23,73.9,1000.4,886.68,1114.13,58.02,0.01%
"Conway County, AR",5029,273,20937,1303.91,1149.24,1458.59,78.92,923.83,811.43,1036.24,57.35,0.01%
"Craighead County, AR",5031,944,105835,891.95,835.05,948.85,29.03,876.84,820.33,933.35,28.83,0.03%
"Crawford County, AR",5033,648,62267,1040.68,960.55,1120.81,40.88,898.99,828.54,969.44,35.94,0.02%
"Crittenden County, AR",5035,515,49235,1046,955.66,1136.35,46.09,1044.09,952.31,1135.88,46.83,0.02%
"Cross County, AR",5037,244,17037,1432.18,1252.47,1611.88,91.69,1103.84,962.11,1245.57,72.31,0.01%
"Dallas County, AR",5039,125,7469,1673.58,1380.19,1966.98,149.69,1090.61,888.29,1292.93,103.22,0.00%
"Desha County, AR",5041,163,11876,1372.52,1161.81,1583.22,107.5,1083.91,911.73,1256.09,87.85,0.01%
"Drew County, AR",5043,230,18651,1233.18,1073.8,1392.55,81.31,994.06,862.57,1125.55,67.09,0.01%
"Faulkner County, AR",5045,976,122227,798.51,748.42,848.61,25.56,895.39,838.28,952.49,29.13,0.04%
"Franklin County, AR",5047,255,17626,1446.73,1269.16,1624.3,90.6,1103.27,963.35,1243.19,71.39,0.01%
"Fulton County, AR",5049,151,12123,1245.57,1046.9,1444.24,101.36,722.21,596.73,847.69,64.02,0.01%
"Garland County, AR",5051,1379,97477,1414.69,1340.02,1489.36,38.1,950.27,897.49,1003.06,26.93,0.05%
"Grant County, AR",5053,221,18082,1222.21,1061.07,1383.35,82.21,993.59,859.75,1127.43,68.29,0.01%
"Greene County, AR",5055,490,44598,1098.7,1001.42,1195.99,49.63,994.11,904.92,1083.31,45.51,0.02%
